	 SKY  VHZ   716      P E 3  28.39    5.18
	 SKY  VHZ   716      S E 3  28.39    9.24
2000/08/01 12:26:16.0 L 2.6 l  32.032 -114.958   6.0 D 9159001   7  92  0  0
	 YMD  VHZ   934      P ID0  68.98   11.59
	 YMD  VHZ   934      S E 3  68.98   20.11
	 EMS  VHZ   298      P ID1  78.68   13.59
	 PLT  VHZ   597      P ID1  80.54   13.02
	 COA  VHZ   218      P ID1  93.70   15.46
	 RUN  VHZ   658      P ID1 104.56   16.48
	 IKP  VHZ   400      P E 3 126.46   21.26
2000/08/01 12:52:55.9 L 1.3 h  34.559 -116.252   8.9 B 9159011  15  73  0  0
	 RAG  VHZ  1034      P ID0  16.61    3.14
	 RAG  VHZ  1034      S E 2  16.61    5.58
	 HDB  VHZ  1032      P IU0  17.87    3.51
	 TPM  VHZ  1033      P ID0  26.87    4.81
	 GTM  VHZ   377      P ID1  30.92    5.20
	 GTM  VHZ   377      S E 2  30.92    9.30
	 CDY  VHZ   184      P IU1  31.15    5.45
	 CDY  VHZ   184      S E 3  31.15    9.63
	 RMM  VHZ   647      P IU1  35.60    6.14
	 RMM  VHZ   647      S E 2  35.60   10.69
	 RMR  VHZ   654      P IU1  48.74    8.24
	 TPC  VHZ   814      P E 2  53.76    9.20
	 SIL  VHZ   711      P E 3  58.00    9.75
	 SHE  VHZ  1035      P E 3  61.10   10.53
	 GRP  VHZ   355      P IU1  65.44   10.90
2000/08/01 13:40:39.9 L 3.3 l  34.802 -116.266   6.0 A 9159031  38 854  0  0
	 HEC  HLZ  7238      P IU0   7.05    1.62
	 HEC  HLN  7239      S E 2   7.05    3.05
	 CDY  VHZ   184      P IU0   7.27    1.67
	 RAG  VHZ  1034      P IU0  16.94    3.13
	 RMM  VHZ   647      P ID0  37.43    6.30
	 RMM  VLN   652      S E 2  37.43   11.04
	 HDB  VHZ  1032      P ID0  44.64    7.61
	 TPM  VHZ  1033      P ID0  51.71    8.74
	 BKR  HHZ  7043      P ID1  55.00    9.06
	 BKR  HHE  7045      S E 2  55.00   15.96
	 GTM  VHZ   377      P ID0  57.03    9.31
	 GTM  VHZ   377      S E 2  57.03   16.45
	 GRP  VHZ   355      P IU0  60.75   10.06
	 RMR  VHZ   654      P ID0  71.49   11.77
	 SIL  VHZ   711      P ID0  72.30   12.02
	 FLS  VHZ   323      P IU1  73.69   11.83
	 GSC  VHZ   365      P IU0  74.59   12.39
	 GSC  VHZ   365      S E 3  74.59   21.79
	 LUC  VHZ   466      P ID0  75.10   12.36
	 TPC  VHZ   814      P IU0  79.96   13.37
	 SHE  VHZ  1035      P IU1  80.73   13.27
	 HOD  VHZ   395      P IU1  90.58   14.59
	 BTL  VHZ   170      P ID1  91.19   15.13
	 BLK  VHZ   143      P IU1  93.52   15.16
	 EW2  VHZ  1011      P ID0  96.71   15.86
	 RAY  VHZ   633      P ID1  98.84   16.38
	 SBP  VLZ   687      P E 2 109.50   18.21
	 CSP  VHZ   235      P IU0 115.24   18.86
	 FRG  VHZ   330      P IU1 117.68   19.53
	 SBK  VHZ   681      P IU1 125.25   20.32
	 XMS  VHZ   930      P E 2 129.15   20.93
	 PEC  VHZ   568      P IU0 130.58   21.30
	 SKY  VHZ   716      P ID1 137.96   22.37
	 TAB  VHZ   787      P E 2 138.61   22.74
	 HMT  VHZ   392      P ID1 139.29   22.69
	 WSH  VHZ   918      P IU1 143.71   22.47
	 HOL  VHZ  1027      P E 2 150.50   23.60
	0299    C 65535      P ID1 11395.21   13.55
2000/08/01 13:56:55.1 L 1.9 h  34.812 -116.270   7.3 A 9159019  18  67  0  0
	 CDY  VHZ   184      P IU0   6.51    1.73
	 CDY  VHZ   184      S E 3   6.51    3.08
	 RAG  VHZ  1034      P IU1  18.05    3.24
	 RAG  VHZ  1034      S E 2  18.05    5.80
	 RMM  VHZ   647      P E 2  37.64    6.34
	 HDB  VHZ  1032      P E 3  45.74    7.70
	 TPM  VHZ  1033      P IU1  52.88    8.84
	 TPM  VHZ  1033      S E 2  52.88   15.66
	 GTM  VHZ   377      P E 2  58.08    9.38
	 GRP  VHZ   355      P IU0  61.12   10.18
	 RMR  VHZ   654      P E 3  72.36   11.82
	 SIL  VHZ   711      P E 3  72.82   12.10
	 LUC  VHZ   466      P E 3  75.36   12.44
	 TPC  VHZ   814      P E 3  81.13   13.64
	 HOD  VHZ   395      P E 3  90.16   14.77
	 EW2  VHZ  1011      P E 2  97.76   16.14
	 HYS  VHZ   399      P E 3 119.96   19.63
	 SBK  VHZ   681      P E 3 124.62   20.61
2000/08/01 13:59:02.1 L 1.4 h  34.799 -116.292   6.2 C 9159020   9  63  0  0
	 CDY  VHZ   184      P IU1   5.41    1.49
	 RAG  VHZ  1034      P IU1  18.29    3.32
	 RAG  VHZ  1034      S E 3  18.29    5.86
	 RMM  VHZ   647      P ID1  35.16    6.03
	 TPM  VHZ  1033      P ID1  52.24    8.83
	 GTM  VHZ   377      P E 3  56.40    9.20
	 GRP  VHZ   355      P ID1  63.15   10.47
	 GRP  VHZ   355      S E 3  63.15   17.90
	 TPC  VHZ   814      P E 3  80.28   13.52
2000/08/01 14:44:12.6 L 1.1 c  35.962 -117.693   5.2 A 9159024   8  51  0  0
	 WRC  VHZ   911      P IU1   4.41    1.26
	 WCS  VHZ   885      P E 3   9.98    1.85
	 WVP  VHZ   925      P IU1  11.54    2.25
	 TOW  VHZ   813      P E 2  18.28    3.78
	 CLC  VHZ   202      P E 2  18.49    3.37
	 WMF  VHZ   906      P E 3  22.86    3.94
	 WMF  VHZ   906      S E 2  22.86    7.08
	 WNM  VHZ   908      P E 3  23.74    4.23
2000/08/01 14:45:36.8 L 1.3 h  34.806 -116.271   7.3 A 9159025   7  79  0  0
	 CDY  VHZ   184      P IU0   6.66    1.73
	 RAG  VHZ  1034      P IU1  17.58    3.19
	 RAG  VHZ  1034      S E 2  17.58    5.77
	 RMM  VHZ   647      P ID1  37.23    6.33
	 TPM  VHZ  1033      P IU1  52.29    8.88
	 GRP  VHZ   355      P IU1  61.21   10.14
	0299    C 65535      P IU1 11395.79    7.39
2000/08/01 15:04:17.9 L 1.4 h  34.810 -116.268   7.1 A 9159030  19  83  0  0
	 CDY  VHZ   184      P IU0   6.76    1.73
	 RAG  VHZ  1034      P IU1  17.76    3.16
	 RAG  VHZ  1034      S E 2  17.76    5.75
	 RMM  VHZ   647      P ID1  37.69    6.35
	 RMM  VHZ   647      S E 2  37.69   11.22
	 HDB  VHZ  1032      P E 2  45.52    7.73
	 HDB  VHZ  1032      S E 2  45.52   13.54
	 TPM  VHZ  1033      P ID1  52.61    8.77
	 GTM  VHZ   377      P E 2  57.88    9.48
	 GTM  VHZ   377      S E 2  57.88   16.52
	 GRP  VHZ   355      P IU1  60.93   10.11
	 GRP  VHZ   355      S E 2  60.93   17.59
	 RMR  VHZ   654      P E 2  72.23   11.90
	 RMR  VHZ   654      S E 3  72.23   20.61
	 TPC  VHZ   814      P ID1  80.87   13.52
	 TPC  VHZ   814      S E 2  80.87   22.80
	 SHE  VHZ  1035      P E 3  81.54   12.96
	0299    C 65535      P IU1 11395.68    7.39
